,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
Australia,1956618,4359765,0.0,0.0008+/-0.0004,0.0017+/-0.0009,0.0028+/-0.0015,0.049+/-0.015,0.056+/-0.015,0.067+/-0.016,0.075+/-0.017,0.082+/-0.017,0.088+/-0.018,0.094+/-0.018,0.101+/-0.019,0.106+/-0.019,0.111+/-0.019,0.117+/-0.020,0.122+/-0.020,0.127+/-0.020,0.133+/-0.021,0.138+/-0.021,0.144+/-0.022,0.149+/-0.022,0.154+/-0.023,0.160+/-0.023,0.165+/-0.024,0.171+/-0.024,0.176+/-0.025,0.181+/-0.025,0.187+/-0.026,0.192+/-0.026,0.197+/-0.027,0.203+/-0.028,0.208+/-0.028,0.214+/-0.029,0.219+/-0.030,0.224+/-0.030,0.230+/-0.031,0.235+/-0.031,0.240+/-0.032,0.246+/-0.033,0.251+/-0.033,0.257+/-0.034,0.262+/-0.035,0.267+/-0.035,0.27+/-0.04,0.28+/-0.04,0.28+/-0.04,0.29+/-0.04,0.29+/-0.04,0.30+/-0.04,0.30+/-0.04,0.31+/-0.04,0.32+/-0.04,0.32+/-0.04
Austria,712114,1557540,0.0,0.0018+/-0.0009,0.0039+/-0.0021,0.0066+/-0.0035,0.011+/-0.006,0.029+/-0.009,0.053+/-0.015,0.071+/-0.018,0.087+/-0.021,0.103+/-0.023,0.117+/-0.025,0.132+/-0.026,0.144+/-0.027,0.157+/-0.028,0.169+/-0.029,0.182+/-0.031,0.194+/-0.032,0.207+/-0.033,0.219+/-0.035,0.23+/-0.04,0.24+/-0.04,0.26+/-0.04,0.27+/-0.04,0.28+/-0.04,0.29+/-0.04,0.31+/-0.05,0.32+/-0.05,0.33+/-0.05,0.34+/-0.05,0.36+/-0.05,0.37+/-0.05,0.38+/-0.05,0.39+/-0.06,0.41+/-0.06,0.42+/-0.06,0.43+/-0.06,0.44+/-0.06,0.46+/-0.07,0.47+/-0.07,0.48+/-0.07,0.49+/-0.07,0.51+/-0.07,0.52+/-0.07,0.53+/-0.08,0.54+/-0.08,0.56+/-0.08,0.57+/-0.08,0.58+/-0.08,0.59+/-0.08,0.61+/-0.09,0.62+/-0.09,0.63+/-0.09,0.64+/-0.09
Azerbaijan,630532,1286959,0.0,0.00062+/-0.00009,0.00128+/-0.00020,0.00196+/-0.00031,0.0028+/-0.0005,0.0037+/-0.0006,0.0049+/-0.0010,0.0058+/-0.0012,0.0065+/-0.0013,0.0072+/-0.0015,0.0079+/-0.0016,0.0085+/-0.0016,0.0090+/-0.0017,0.0095+/-0.0017,0.0100+/-0.0018,0.0106+/-0.0018,0.0111+/-0.0019,0.0116+/-0.0019,0.0121+/-0.0020,0.0126+/-0.0020,0.0131+/-0.0021,0.0137+/-0.0021,0.0142+/-0.0022,0.0147+/-0.0023,0.0152+/-0.0023,0.0157+/-0.0024,0.0162+/-0.0024,0.0168+/-0.0025,0.0173+/-0.0026,0.0178+/-0.0026,0.0183+/-0.0027,0.0188+/-0.0028,0.0193+/-0.0028,0.0199+/-0.0029,0.0204+/-0.0029,0.0209+/-0.0030,0.0214+/-0.0031,0.0219+/-0.0032,0.0224+/-0.0032,0.0230+/-0.0033,0.0235+/-0.0034,0.0240+/-0.0034,0.0245+/-0.0035,0.025+/-0.004,0.026+/-0.004,0.026+/-0.004,0.027+/-0.004,0.027+/-0.004,0.028+/-0.004,0.028+/-0.004,0.029+/-0.004,0.029+/-0.004,0.030+/-0.004
Burundi,155059,493514,0.0,0.0+/-0,0.0+/-0,0.0+/-0,0.00043+/-0.00015,0.00043+/-0.00015,0.00043+/-0.00015,0.00043+/-0.00015,0.00043+/-0.00015,0.00043+/-0.00015,0.00043+/-0.00015,0.00043+/-0.00015,0.00043+/-0.00015,0.00043+/-0.00015,0.00043+/-0.00015,0.00043+/-0.00015,0.00043+/-0.00015,0.00043+/-0.00015,0.00043+/-0.00015,0.00043+/-0.00015,0.00043+/-0.00015,0.00043+/-0.00015,0.00043+/-0.00015,0.00043+/-0.00015,0.00043+/-0.00015,0.00043+/-0.00015,0.00043+/-0.00015,0.00043+/-0.00015,0.00043+/-0.00015,0.00043+/-0.00015,0.00043+/-0.00015,0.00043+/-0.00015,0.00043+/-0.00015,0.00043+/-0.00015,0.00043+/-0.00015,0.00043+/-0.00015,0.00043+/-0.00015,0.00043+/-0.00015,0.00043+/-0.00015,0.00043+/-0.00015,0.00043+/-0.00015,0.00043+/-0.00015,0.00043+/-0.00015,0.00043+/-0.00015,0.00043+/-0.00015,0.00043+/-0.00015,0.00043+/-0.00015,0.00043+/-0.00015,0.00043+/-0.00015,0.00043+/-0.00015,0.00043+/-0.00015,0.00043+/-0.00015,0.00043+/-0.00015
Belgium,699840,1569528,0.0,0.0017+/-0.0009,0.0037+/-0.0020,0.0062+/-0.0033,0.010+/-0.005,0.015+/-0.008,0.026+/-0.014,0.032+/-0.016,0.044+/-0.018,0.055+/-0.020,0.066+/-0.021,0.077+/-0.022,0.085+/-0.023,0.094+/-0.023,0.103+/-0.023,0.112+/-0.024,0.120+/-0.025,0.129+/-0.025,0.138+/-0.026,0.147+/-0.027,0.156+/-0.027,0.164+/-0.028,0.173+/-0.029,0.182+/-0.030,0.191+/-0.031,0.199+/-0.032,0.208+/-0.033,0.217+/-0.034,0.226+/-0.035,0.23+/-0.04,0.24+/-0.04,0.25+/-0.04,0.26+/-0.04,0.27+/-0.04,0.28+/-0.04,0.29+/-0.04,0.30+/-0.04,0.30+/-0.04,0.31+/-0.05,0.32+/-0.05,0.33+/-0.05,0.34+/-0.05,0.35+/-0.05,0.36+/-0.05,0.37+/-0.05,0.38+/-0.05,0.38+/-0.05,0.39+/-0.06,0.40+/-0.06,0.41+/-0.06,0.42+/-0.06,0.43+/-0.06,0.44+/-0.06
Benin,936258,2873300,0.0,0.0+/-0,0.0+/-0,0.0+/-0,(7.0+/-2.5)e-05,(7.0+/-2.5)e-05,(7.0+/-2.5)e-05,(7.0+/-2.5)e-05,(7.0+/-2.5)e-05,(7.0+/-2.5)e-05,(7.0+/-2.5)e-05,(7.0+/-2.5)e-05,(7.0+/-2.5)e-05,(7.0+/-2.5)e-05,(7.0+/-2.5)e-05,(7.0+/-2.5)e-05,(7.0+/-2.5)e-05,(7.0+/-2.5)e-05,(7.0+/-2.5)e-05,(7.0+/-2.5)e-05,(7.0+/-2.5)e-05,(7.0+/-2.5)e-05,(7.0+/-2.5)e-05,(7.0+/-2.5)e-05,(7.0+/-2.5)e-05,(7.0+/-2.5)e-05,(7.0+/-2.5)e-05,(7.0+/-2.5)e-05,(7.0+/-2.5)e-05,(7.0+/-2.5)e-05,(7.0+/-2.5)e-05,(7.0+/-2.5)e-05,(7.0+/-2.5)e-05,(7.0+/-2.5)e-05,(7.0+/-2.5)e-05,(7.0+/-2.5)e-05,(7.0+/-2.5)e-05,(7.0+/-2.5)e-05,(7.0+/-2.5)e-05,(7.0+/-2.5)e-05,(7.0+/-2.5)e-05,(7.0+/-2.5)e-05,(7.0+/-2.5)e-05,(7.0+/-2.5)e-05,(7.0+/-2.5)e-05,(7.0+/-2.5)e-05,(7.0+/-2.5)e-05,(7.0+/-2.5)e-05,(7.0+/-2.5)e-05,(7.0+/-2.5)e-05,(7.0+/-2.5)e-05,(7.0+/-2.5)e-05,(7.0+/-2.5)e-05
Burkina Faso,478407,1547478,0.0,0.0+/-0,0.0+/-0,0.0+/-0,0.00014+/-0.00005,0.00014+/-0.00005,0.00014+/-0.00005,0.00014+/-0.00005,0.00014+/-0.00005,0.00014+/-0.00005,0.00014+/-0.00005,0.00014+/-0.00005,0.00014+/-0.00005,0.00014+/-0.00005,0.00014+/-0.00005,0.00014+/-0.00005,0.00014+/-0.00005,0.00014+/-0.00005,0.00014+/-0.00005,0.00014+/-0.00005,0.00014+/-0.00005,0.00014+/-0.00005,0.00014+/-0.00005,0.00014+/-0.00005,0.00014+/-0.00005,0.00014+/-0.00005,0.00014+/-0.00005,0.00014+/-0.00005,0.00014+/-0.00005,0.00014+/-0.00005,0.00014+/-0.00005,0.00014+/-0.00005,0.00014+/-0.00005,0.00014+/-0.00005,0.00014+/-0.00005,0.00014+/-0.00005,0.00014+/-0.00005,0.00014+/-0.00005,0.00014+/-0.00005,0.00014+/-0.00005,0.00014+/-0.00005,0.00014+/-0.00005,0.00014+/-0.00005,0.00014+/-0.00005,0.00014+/-0.00005,0.00014+/-0.00005,0.00014+/-0.00005,0.00014+/-0.00005,0.00014+/-0.00005,0.00014+/-0.00005,0.00014+/-0.00005,0.00014+/-0.00005,0.00014+/-0.00005
Bangladesh,15374027,28627693,0.0,0.00059+/-0.00009,0.00120+/-0.00018,0.00183+/-0.00028,0.0037+/-0.0006,0.0045+/-0.0007,0.0056+/-0.0010,0.0064+/-0.0011,0.0071+/-0.0013,0.0077+/-0.0013,0.0083+/-0.0014,0.0089+/-0.0015,0.0094+/-0.0015,0.0099+/-0.0016,0.0104+/-0.0016,0.0109+/-0.0017,0.0114+/-0.0017,0.0119+/-0.0018,0.0124+/-0.0018,0.0129+/-0.0019,0.0133+/-0.0019,0.0138+/-0.0020,0.0143+/-0.0021,0.0148+/-0.0021,0.0153+/-0.0022,0.0158+/-0.0022,0.0163+/-0.0023,0.0168+/-0.0023,0.0173+/-0.0024,0.0178+/-0.0025,0.0183+/-0.0025,0.0188+/-0.0026,0.0193+/-0.0027,0.0198+/-0.0027,0.0203+/-0.0028,0.0208+/-0.0029,0.0213+/-0.0029,0.0218+/-0.0030,0.0223+/-0.0031,0.0228+/-0.0031,0.0233+/-0.0032,0.0237+/-0.0033,0.0242+/-0.0033,0.0247+/-0.0034,0.0252+/-0.0035,0.0257+/-0.0035,0.026+/-0.004,0.027+/-0.004,0.027+/-0.004,0.028+/-0.004,0.028+/-0.004,0.029+/-0.004,0.029+/-0.004
Bulgaria,474555,1100174,0.0,0.00032+/-0.00017,0.0007+/-0.0004,0.0012+/-0.0006,0.034+/-0.012,0.035+/-0.012,0.040+/-0.012,0.043+/-0.013,0.046+/-0.013,0.048+/-0.013,0.051+/-0.013,0.053+/-0.013,0.055+/-0.013,0.057+/-0.013,0.059+/-0.013,0.062+/-0.013,0.064+/-0.013,0.066+/-0.013,0.068+/-0.013,0.070+/-0.014,0.072+/-0.014,0.074+/-0.014,0.076+/-0.014,0.079+/-0.014,0.081+/-0.014,0.083+/-0.014,0.085+/-0.014,0.087+/-0.015,0.089+/-0.015,0.091+/-0.015,0.093+/-0.015,0.096+/-0.015,0.098+/-0.015,0.100+/-0.015,0.102+/-0.016,0.104+/-0.016,0.106+/-0.016,0.108+/-0.016,0.110+/-0.016,0.112+/-0.017,0.115+/-0.017,0.117+/-0.017,0.119+/-0.017,0.121+/-0.017,0.123+/-0.018,0.125+/-0.018,0.127+/-0.018,0.129+/-0.018,0.132+/-0.019,0.134+/-0.019,0.136+/-0.019,0.138+/-0.019,0.140+/-0.019
Bahrain,108961,277743,0.0,0.0014+/-0.0007,0.0031+/-0.0016,0.0052+/-0.0027,0.009+/-0.004,0.013+/-0.007,0.023+/-0.012,0.035+/-0.014,0.047+/-0.016,0.058+/-0.017,0.068+/-0.018,0.077+/-0.019,0.086+/-0.020,0.094+/-0.020,0.103+/-0.021,0.111+/-0.021,0.119+/-0.022,0.128+/-0.023,0.136+/-0.024,0.145+/-0.024,0.153+/-0.025,0.162+/-0.026,0.170+/-0.027,0.178+/-0.028,0.187+/-0.029,0.195+/-0.030,0.204+/-0.031,0.212+/-0.032,0.220+/-0.033,0.229+/-0.034,0.237+/-0.035,0.25+/-0.04,0.25+/-0.04,0.26+/-0.04,0.27+/-0.04,0.28+/-0.04,0.29+/-0.04,0.30+/-0.04,0.30+/-0.04,0.31+/-0.04,0.32+/-0.05,0.33+/-0.05,0.34+/-0.05,0.35+/-0.05,0.35+/-0.05,0.36+/-0.05,0.37+/-0.05,0.38+/-0.05,0.39+/-0.06,0.40+/-0.06,0.41+/-0.06,0.41+/-0.06,0.42+/-0.06
